brand,model,condition,transmission,body_type,fuel_type,price,mileage_km,engine_cc,age,district,has_trim
3,Mira,2,0,2,4,6450000,1300,660,1,6,1
22,Roomy,2,0,6,4,9390000,21000,1000,3,6,1
15,Magnite,0,0,4,4,10100000,43,1000,1,4,1
20,Hustler,3,0,4,4,5750000,125112,660,9,6,0
4,Ranger,0,0,4,0,29890000,0,3000,2,4,1
5,Vezel,3,0,4,2,13000000,110000,1490,7,4,1
3,Cast Activa,3,0,2,4,5790000,118000,660,9,4,1
5,Vezel,3,0,4,2,8950000,213000,1500,12,4,1
4,Raptor Ranger,0,0,4,4,33490000,0,2000,1,4,1
15,Sunny,3,0,5,4,4345000,140000,1500,25,4,1
7,Carens,0,0,6,4,19590000,0,1500,1,4,1
22,Raize,3,0,4,4,12875000,0,1000,1,6,1
23,T-Cross,2,3,4,4,15500000,3000,1000,3,4,1
5,CRV,0,0,6,4,31790000,0,1500,1,4,1
22,Axio,3,0,5,2,9250000,154200,1490,11,4,1
20,Wagon R Stingray,3,0,2,4,7050000,83500,660,8,14,0
14,Montero,3,0,4,0,27800000,142000,3200,11,4,0
22,Land Cruiser Prado,3,1,4,4,14000000,190000,2700,20,6,1
14,Outlander,3,0,4,2,13900000,115000,2000,11,4,1
22,Vitz,3,0,2,4,6950000,160000,1000,10,5,0
22,Land Cruiser Sahara,0,3,4,4,86000000,0,3500,2,6,1
9,GX550,1,0,4,2,115000000,0,3500,1,4,1
22,Land Cruiser Sahara,1,0,4,4,89000000,0,3500,1,4,1
22,Vanguard,3,3,4,4,13000000,238000,2400,14,4,0
20,Celerio,3,0,2,4,5100000,100450,1000,11,4,1
22,Allion,3,0,5,4,13390000,143000,1500,10,6,1
22,Aqua,3,0,4,4,8300000,130000,1500,11,10,1
5,Vezel,0,0,6,2,20250000,0,1500,1,4,1
5,CRV,3,3,4,4,20600000,12020,1500,8,4,1
2,Glory,3,0,4,4,8400000,50700,1498,5,14,1
5,Vezel,2,0,4,4,18000000,0,1500,1,6,1
15,Dayz,3,0,2,2,7985000,8000,660,3,4,1
12,C200,2,0,5,4,35500000,17000,1500,3,4,1
22,Hilux,2,0,4,0,25000000,3000,2400,3,6,1
8,Defender,2,0,4,4,65000000,17000,2000,3,4,1
12,GLB,1,0,4,2,32500000,4000,1400,2,4,1
22,Corolla,2,0,5,4,15850000,3166,1500,3,6,1
22,Raize,2,0,4,4,11550000,24672,1000,4,6,1
22,Harrier,2,0,4,4,37450000,3000,2000,2,4,1
22,Land Cruiser Prado,3,0,4,0,46500000,181512,4500,15,6,1
8,Range Rover Sport,3,0,4,0,43000000,53214,2000,9,6,1
12,E300,3,0,5,0,17900000,83421,2300,11,6,1
16,Pleo,2,0,2,4,6390000,20000,660,3,4,1
20,Wagon R FX,0,0,2,4,7665000,0,660,1,4,1
22,Aqua,3,0,2,2,8100000,124000,1500,11,11,1
14,Eclipse Cross,3,0,4,4,14500000,67000,1500,7,4,0
19,KWID,3,1,2,4,3725000,78000,800,10,3,1
6,Grand i10,3,3,2,4,5500000,95500,998,10,4,0
5,CRV,0,0,4,4,31500000,0,1500,1,4,1
7,Other Model,0,0,4,4,12750000,0,1000,0,4,1
12,C200,2,0,5,4,38500000,7000,1500,3,4,1
16,XV,3,0,2,2,7950000,145000,2000,13,4,1
5,Vezel,3,0,2,2,9575000,145000,1500,12,4,1
22,Roomy,2,0,4,4,8875000,30000,1000,3,10,1
20,Alto,3,1,2,4,3650000,129000,796,11,4,1
12,CLA 200,3,0,1,4,23900000,49000,1332,7,4,1
22,Prius,3,0,5,2,14000000,96000,1790,12,4,1
